date, rr, since_start, window, lap
2017-06-23 17:12:35 +0000, 724.000000, 1431.000000, 1, 0 
2017-06-23 17:12:36 +0000, 862.000000, 2293.000000, 1, 0 
2017-06-23 17:12:37 +0000, 903.000000, 3196.000000, 1, 0 
2017-06-23 17:12:38 +0000, 970.000000, 4166.000000, 1, 0 
2017-06-23 17:12:39 +0000, 1021.000000, 5187.000000, 1, 0 
2017-06-23 17:12:40 +0000, 1058.000000, 6245.000000, 1, 0 
2017-06-23 17:12:41 +0000, 1036.000000, 7281.000000, 1, 0 
2017-06-23 17:12:42 +0000, 972.000000, 8253.000000, 1, 0 
2017-06-23 17:12:42 +0000, 793.000000, 9046.000000, 1, 0 
2017-06-23 17:12:43 +0000, 768.000000, 9814.000000, 1, 0 
2017-06-23 17:12:44 +0000, 773.000000, 10587.000000, 1, 0 
2017-06-23 17:12:45 +0000, 924.000000, 11511.000000, 2, 0 
2017-06-23 17:12:46 +0000, 952.000000, 12463.000000, 2, 0 
2017-06-23 17:12:47 +0000, 988.000000, 13451.000000, 2, 0 
2017-06-23 17:12:48 +0000, 1019.000000, 14470.000000, 2, 0 
2017-06-23 17:12:50 +0000, 805.000000, 15275.000000, 2, 0 
2017-06-23 17:12:51 +0000, 731.000000, 16006.000000, 2, 0 
2017-06-23 17:12:52 +0000, 703.000000, 16709.000000, 2, 0 
2017-06-23 17:12:53 +0000, 815.000000, 17524.000000, 2, 0 
2017-06-23 17:12:54 +0000, 926.000000, 18450.000000, 2, 0 
2017-06-23 17:12:55 +0000, 993.000000, 19443.000000, 3, 0 
2017-06-23 17:12:56 +0000, 1072.000000, 20515.000000, 3, 0 
2017-06-23 17:12:57 +0000, 1141.000000, 21656.000000, 3, 0 
2017-06-23 17:12:58 +0000, 1069.000000, 22725.000000, 3, 0 
2017-06-23 17:12:59 +0000, 977.000000, 23702.000000, 3, 0 
2017-06-23 17:12:59 +0000, 814.000000, 24516.000000, 3, 0 
2017-06-23 17:13:00 +0000, 758.000000, 25274.000000, 3, 0 
2017-06-23 17:13:01 +0000, 738.000000, 26012.000000, 3, 0 
2017-06-23 17:13:02 +0000, 804.000000, 26816.000000, 3, 0 
2017-06-23 17:13:03 +0000, 926.000000, 27742.000000, 3, 0 
2017-06-23 17:13:04 +0000, 991.000000, 28733.000000, 3, 0 
2017-06-23 17:13:05 +0000, 1043.000000, 29776.000000, 4, 0 
2017-06-23 17:13:06 +0000, 575.000000, 30351.000000, 4, 0 
2017-06-23 17:13:08 +0000, 822.000000, 31173.000000, 4, 0 
2017-06-23 17:13:09 +0000, 756.000000, 31929.000000, 4, 0 
2017-06-23 17:13:10 +0000, 783.000000, 32712.000000, 4, 0 
2017-06-23 17:13:11 +0000, 891.000000, 33603.000000, 4, 0 
2017-06-23 17:13:12 +0000, 951.000000, 34554.000000, 4, 0 
2017-06-23 17:13:13 +0000, 993.000000, 35547.000000, 4, 0 
2017-06-23 17:13:14 +0000, 973.000000, 36520.000000, 4, 0 
2017-06-23 17:13:15 +0000, 470.000000, 36990.000000, 5, 0 
2017-06-23 17:13:17 +0000, 765.000000, 37755.000000, 5, 0 
2017-06-23 17:13:18 +0000, 722.000000, 38477.000000, 5, 0 
2017-06-23 17:13:19 +0000, 785.000000, 39262.000000, 5, 0 
2017-06-23 17:13:20 +0000, 900.000000, 40162.000000, 5, 0 
2017-06-23 17:13:20 +0000, 948.000000, 41110.000000, 5, 0 
2017-06-23 17:13:21 +0000, 980.000000, 42090.000000, 5, 0 
2017-06-23 17:13:22 +0000, 989.000000, 43079.000000, 5, 0 
2017-06-23 17:13:23 +0000, 1019.000000, 44098.000000, 5, 0 
2017-06-23 17:13:24 +0000, 939.000000, 45037.000000, 5, 0 
2017-06-23 17:13:25 +0000, 847.000000, 45884.000000, 6, 0 
2017-06-23 17:13:26 +0000, 751.000000, 46635.000000, 6, 0 
2017-06-23 17:13:27 +0000, 723.000000, 47358.000000, 6, 0 
2017-06-23 17:13:27 +0000, 802.000000, 48160.000000, 6, 0 
